OwnerId,PlayerId,PlayerBoughtForAmount
67f573b4421edd01df7655cf,265,60
67f572de421edd01df7654da,1429626,10
67f572b7421edd01df7654a9,19243,130
67f57899e82081c624131e28,24326,160
67f57b0e591a5fba60ffdee3,14798,90
67f57320421edd01df76550b,8733,710
67f57386421edd01df76559e,14254,300
67f57386421edd01df76559e,11893,10
67f57386421edd01df76559e,10637,150
67f57365421edd01df76556d,13972,10
67f572de421edd01df7654da,8520,400
67f572de421edd01df7654da,13213,100
67f57320421edd01df76550b,13070,110
67f57320421edd01df76550b,36454,60
67f572b7421edd01df7654a9,14691,90
67f57320421edd01df76550b,32854,30
67f57320421edd01df76550b,10214,70
67f57341421edd01df76553c,10209,300
67f57365421edd01df76556d,10276,250
67f57b0e591a5fba60ffdee3,9406,220
67f573b4421edd01df7655cf,10744,310
67f57899e82081c624131e28,13388,10
67f57899e82081c624131e28,14327,20
67f573b4421edd01df7655cf,13089,10
67f573b4421edd01df7655cf,15779,10
67f573b4421edd01df7655cf,13135,150
67f57386421edd01df76559e,2258,600
